UserId,ChapterId,CommentString,CommentPostedDate
3,1,Great opening chapter! Instantly hooked.,2023-03-07 10:00:00
7,1,The atmosphere here is incredible.,2023-03-10 14:30:00
12,2,The clue in this chapter was so subtle. Love it.,2023-03-15 09:00:00
19,2,I had to reread this twice to catch everything.,2023-03-16 11:00:00
5,3,The fog setting gave me chills.,2023-03-25 18:00:00
14,3,The writing feels very cinematic.,2023-03-28 20:00:00
28,4,I immediately suspected the wrong person.,2023-04-05 13:00:00
2,5,The lies are stacking up. Incredible tension.,2023-04-12 16:00:00
9,5,I cannot put this down.,2023-04-13 21:00:00
33,6,The hidden connection reveal was perfectly timed.,2023-04-23 09:30:00
41,7,The chase sequence was so well paced.,2023-05-05 17:00:00
6,8,Closing in on the truth. Edge of my seat.,2023-05-18 11:00:00
22,9,I was so sure I had figured it out but I was wrong.,2023-06-04 19:00:00
15,10,A perfect ending. Justice well served.,2023-06-25 08:00:00
8,10,One of the best mystery chapters I have read.,2023-06-27 20:00:00
1,11,The river descriptions are so vivid.,2023-01-27 10:00:00
17,12,Muddy Waters is a perfect chapter title.,2023-02-06 14:00:00
30,13,Never expected to meet that character here.,2023-02-18 09:00:00
44,14,The old ferryman stole the show.,2023-03-01 11:00:00
3,15,The storm felt real. Excellent writing.,2023-03-13 18:00:00
26,16,A town without law is such a great concept.,2023-03-28 15:00:00
11,17,What is in the cargo? I am desperate to know.,2023-04-11 20:00:00
39,18,Downriver flows so smoothly as a chapter.,2023-04-25 09:00:00
20,20,Home Again was bittersweet. Loved it.,2023-05-25 17:00:00
5,21,The moors feel alive in this chapter.,2023-06-02 13:00:00
29,22,The bitter meeting set the tone perfectly.,2023-06-12 16:00:00
7,23,So much tension between these two characters.,2023-06-22 11:00:00
43,24,Old wounds indeed. This hurt to read.,2023-07-04 09:00:00
16,25,The locked room mystery within a romance. Genius.,2023-07-18 21:00:00
2,26,The winter imagery in this chapter is beautiful.,2023-08-01 10:00:00
35,27,A cruel heart but I somehow still like them.,2023-08-14 14:00:00
49,28,Getting lost in the dark alongside the character.,2023-08-29 19:00:00
13,29,That final letter destroyed me emotionally.,2023-09-12 22:00:00
8,30,After the Storm was a perfect closing chapter.,2023-09-28 17:00:00
25,30,I read this whole thing in one sitting.,2023-10-01 11:00:00
18,31,The world building here is outstanding.,2023-07-22 09:00:00
40,32,Citizens of the Grid is such a chilling concept.,2023-08-01 13:00:00
6,33,This chapter reminded me so much of classic dystopian fiction.,2023-08-12 10:00:00
31,34,The underground feels claustrophobic in the best way.,2023-08-24 16:00:00
23,35,Every chapter raises the stakes even higher.,2023-09-06 20:00:00
47,36,A dangerous broadcast indeed. Gripping stuff.,2023-09-19 11:00:00
10,37,The resistance growing is so satisfying to read.,2023-10-03 14:00:00
4,38,Into the outer zones was terrifying.,2023-10-16 09:00:00
36,39,I did not expect that truth at all.,2023-10-30 18:00:00
21,40,A world reborn. What a journey this was.,2023-11-14 21:00:00
14,41,Love the next generation concept. Fresh take.,2023-08-13 10:00:00
38,42,First Day at School brought back memories.,2023-08-23 15:00:00
9,43,The old spell was a clever callback.,2023-09-05 11:00:00
27,44,A familiar danger lurking. Cannot look away.,2023-09-19 18:00:00
45,45,The forbidden archive is the best setting in any chapter so far.,2023-10-03 09:00:00
3,46,A new alliance forming is so exciting.,2023-10-18 14:00:00
19,47,Dark magic rising gave me goosebumps.,2023-11-01 20:00:00
32,48,The mentor has secrets? I need to know more.,2023-11-15 17:00:00
11,49,The final trial was intense from start to finish.,2023-11-29 09:00:00
24,50,Legacy Fulfilled. What a satisfying conclusion.,2023-12-13 13:00:00
1,51,The world building in this epic fantasy is unmatched.,2023-09-25 10:00:00
46,52,The gathering storm is both literal and metaphorical.,2023-10-06 14:00:00
8,53,A warrior's oath carries real weight here.,2023-10-18 19:00:00
33,54,The ancient map subplot is so intriguing.,2023-11-01 11:00:00
17,55,Into the wilds was breathtaking.,2023-11-13 16:00:00
42,56,The enemy reveal was shocking.,2023-11-26 21:00:00
29,57,Battle at the Gates was epic. Literally.,2023-12-10 09:00:00
6,58,The cost of war hit differently in this chapter.,2023-12-24 13:00:00
15,59,The storm unleashed was incredible to visualize.,2024-01-09 18:00:00
38,60,Peace and Ashes. What a title. What a chapter.,2024-01-24 11:00:00
22,61,One last case sets such a melancholy tone.,2023-11-10 09:00:00
5,62,A body in the library. Classic setup done perfectly.,2023-11-21 14:00:00
40,63,The first interview scene had great dialogue.,2023-12-02 10:00:00
13,64,A missing key feels like a metaphor for so many things.,2023-12-15 17:00:00
49,65,The detective's doubt was unexpected and refreshing.,2023-12-26 09:00:00
7,66,A second death raised the stakes massively.,2024-01-09 20:00:00
31,67,Unraveling the web is such satisfying reading.,2024-01-23 13:00:00
18,68,The trap is set. I am so nervous for the next chapter.,2024-02-06 18:00:00
2,69,Caught in the act was a masterful payoff.,2024-02-20 11:00:00
26,70,The final clue revealed. Perfectly done from start to finish.,2024-03-05 15:00:00
39,71,Departure from Earth felt emotional.,2023-12-01 10:00:00
10,72,The outer rim descriptions are incredible.,2023-12-12 14:00:00
44,73,First contact gave me chills.,2023-12-24 09:00:00
16,74,The signal chapter left me with so many questions.,2024-01-07 19:00:00
4,75,A strange intelligence is the most intriguing concept in this story.,2024-01-21 11:00:00
35,76,The crew divides always leads to drama and I love it.,2024-02-05 16:00:00
23,77,Into the nebula was visually stunning in my mind.,2024-02-19 09:00:00
48,78,The mind network concept is fascinating.,2024-03-05 14:00:00
9,79,War among stars was breathtaking.,2024-03-20 18:00:00
27,80,A new horizon. Such a hopeful ending.,2024-04-05 11:00:00
12,81,The sea descriptions put me right there on the water.,2023-12-15 10:00:00
37,82,The calm before the storm. Well named.,2023-12-25 14:00:00
20,83,Lost at sea felt genuinely tense.,2024-01-09 09:00:00
6,84,Days without water was uncomfortable to read. In a great way.,2024-01-22 16:00:00
45,85,A distant shore gave me real hope.,2024-02-05 11:00:00
3,86,The silence speaks is such a poetic chapter title.,2024-02-19 18:00:00
28,87,Reckoning was a powerful moment.,2024-03-05 09:00:00
14,88,A rescue at dawn. I was so relieved.,2024-03-20 13:00:00
41,89,Return to land felt cathartic.,2024-04-05 10:00:00
19,90,What the sea leaves behind. Deeply moving.,2024-04-22 17:00:00
34,91,Guilt is such a strong opening chapter for this story.,2024-01-20 11:00:00
7,92,The first confession scene was raw and honest.,2024-01-30 15:00:00
47,93,Shadows of the past are haunting in this chapter.,2024-02-11 09:00:00
11,94,A breaking mind was difficult but important to read.,2024-02-23 18:00:00
30,95,The interrogation was so well written.,2024-03-07 13:00:00
43,96,Buried truths finally surfacing. About time.,2024-03-21 10:00:00
5,97,The edge of reason was chilling.,2024-04-04 16:00:00
22,98,Descent into chaos. Could not stop reading.,2024-04-18 09:00:00
36,99,The reckoning chapter delivered everything it promised.,2024-05-02 14:00:00
1,100,Absolution. A profound ending to this story arc.,2024-05-16 11:00:00
17,101,Letters from the front feel so authentic.,2024-02-13 10:00:00
29,102,A love interrupted is heartbreaking.,2024-02-24 15:00:00
8,103,The battlefield chapter does not glorify war at all.,2024-03-07 09:00:00
46,104,A brief peace made me treasure quiet moments.,2024-03-20 13:00:00
13,105,The second offensive was intense.,2024-04-03 18:00:00
24,106,Waiting at home hit harder than the battle scenes.,2024-04-17 11:00:00
39,107,Reunion brought actual tears to my eyes.,2024-05-01 14:00:00
2,108,A heart at war is the perfect chapter to end on.,2024-05-15 09:00:00
21,109,Something in the dark is already terrifying.,2024-03-28 20:00:00
15,110,The first disappearance set the tone immediately.,2024-04-09 17:00:00
37,111,Strange noises made me turn on all the lights.,2024-04-21 22:00:00
9,112,The town awakens felt very real and grounded.,2024-05-04 10:00:00
48,113,Into the woods was genuinely scary.,2024-05-17 16:00:00
4,114,A night without end. Brilliantly oppressive.,2024-05-31 09:00:00
26,115,The source of fear was a satisfying reveal.,2024-06-14 14:00:00
33,116,Last light was both terrifying and beautiful.,2024-06-28 18:00:00
18,117,Entering the dream world was magical.,2024-04-12 11:00:00
6,118,The waking realm concept is so creative.,2024-04-23 15:00:00
40,119,A dreamer's guide was charming and mysterious.,2024-05-06 09:00:00
12,120,The nightmare's edge was deeply unsettling.,2024-05-19 19:00:00
45,121,Lost in the subconscious was beautifully written.,2024-06-02 13:00:00
31,122,The dream warden is my favorite character so far.,2024-06-16 10:00:00
7,123,Breaking through gave me so much satisfaction.,2024-07-01 16:00:00
19,124,Wake up call was a perfect ending to this arc.,2024-07-15 11:00:00
34,125,A dragon's egg is the most exciting opening chapter.,2024-04-30 09:00:00
23,126,The path north had incredible scenery described.,2024-05-12 14:00:00
11,127,Fire in the village was devastating.,2024-05-25 18:00:00
43,128,The dragon rider bond feels genuine.,2024-06-08 11:00:00
3,129,Trial of flames was thrilling from start to finish.,2024-06-22 15:00:00
27,130,The old wyrm is a fascinating character.,2024-07-06 09:00:00
16,131,Wings across the sky was epic in every sense.,2024-07-21 13:00:00
49,132,The dragon's rest was bittersweet. Great chapter.,2024-08-05 17:00:00
8,133,The frozen court setting is perfect for this story.,2024-05-15 10:00:00
38,134,Whispers in the hall felt ominous throughout.,2024-05-27 14:00:00
5,135,The cold conspiracy is unraveling so well.,2024-06-09 09:00:00
20,136,A kingdom divided was painful to read.,2024-06-23 18:00:00
41,137,The ice campaign had brilliant tactical detail.,2024-07-07 11:00:00
14,138,Betrayal at the throne was shocking.,2024-07-22 15:00:00
35,139,The echo of war lingers well beyond the chapter.,2024-08-06 09:00:00
2,140,A bitter peace is exactly what it sounds like.,2024-08-21 13:00:00
28,141,A name forgotten is such an intriguing premise.,2024-05-31 10:00:00
10,142,The first chord gave me chills.,2024-06-12 14:00:00
46,143,The listener's road is beautifully paced.,2024-06-25 09:00:00
22,144,A song for silence. Gorgeous writing.,2024-07-09 18:00:00
32,145,The name thief is genuinely menacing.,2024-07-23 11:00:00
1,146,A bard's bargain was clever and tense.,2024-08-06 15:00:00
17,147,Echoes and shadows is hauntingly written.,2024-08-20 09:00:00
44,148,The name reclaimed. Emotional and triumphant.,2024-09-04 13:00:00
6,149,The system awakens was an exciting start.,2024-06-12 10:00:00
30,150,First level up never gets old as a concept.,2024-06-23 14:00:00
39,151,A stronger enemy appeared out of nowhere.,2024-07-06 09:00:00
13,152,The hidden dungeon reveal was great.,2024-07-20 17:00:00
47,153,Beyond the limit was genuinely thrilling.,2024-08-03 11:00:00
4,154,A new skill acquisition is always satisfying.,2024-08-17 15:00:00
25,155,The rival appears. Love a good rival character.,2024-08-31 09:00:00
37,156,Level infinity. What a payoff chapter.,2024-09-14 13:00:00
9,157,Tutorial begin was unexpectedly emotional.,2024-06-22 10:00:00
21,158,The first quest had me smiling the whole time.,2024-07-03 14:00:00
15,159,Rare loot is the best feeling and this chapter captured it.,2024-07-17 09:00:00
36,160,The boss fight was perfectly paced.,2024-07-31 18:00:00
3,161,Ascending the ranks felt earned.,2024-08-14 11:00:00
48,162,An unlikely ally is my favorite trope done right.,2024-08-28 15:00:00
26,163,The leaderboard adds such interesting stakes.,2024-09-11 09:00:00
7,164,Final ascension was a fantastic payoff.,2024-09-25 13:00:00
18,165,A core is born is one of the funniest openings I have read.,2024-07-06 10:00:00
40,166,First minion was adorable and hilarious.,2024-07-17 14:00:00
11,167,The unwanted adventurers subplot is gold.,2024-07-30 09:00:00
29,168,Traps and tricks was so cleverly written.,2024-08-13 17:00:00
5,169,A deeper level revealed so much about this world.,2024-08-27 11:00:00
42,170,The core evolves was genuinely exciting.,2024-09-11 15:00:00
16,171,Siege of the dungeon was the most action I have seen yet.,2024-09-25 09:00:00
33,172,The core endures. A satisfying end to this arc.,2024-10-09 13:00:00
12,173,What am I now made me laugh immediately.,2024-07-14 10:00:00
45,174,Eating everything is such a funny and creative chapter.,2024-07-25 14:00:00
24,175,First subordinates joining was wholesome.,2024-08-07 09:00:00
8,176,The slime kingdom growing was so satisfying.,2024-08-21 17:00:00
38,177,A human visits created great culture clash comedy.,2024-09-04 11:00:00
2,178,Skills absorbed. The progression is so well done.,2024-09-18 15:00:00
31,179,The slime army is genuinely intimidating despite the concept.,2024-10-02 09:00:00
20,180,King of all slimes. An absurd and wonderful payoff.,2024-10-17 13:00:00
14,181,The bottomless well concept is fascinating.,2024-07-26 10:00:00
43,195,The first summoning was spectacular.,2024-08-13 10:00:00
27,202,The first blade chapter set up the mentor beautifully.,2024-08-21 09:00:00
6,209,Gathering qi is explained so naturally here.,2024-08-30 14:00:00
34,216,Mutation begins immediately grabbed my attention.,2024-09-09 10:00:00
19,223,Opening day was charming and funny.,2024-09-12 09:00:00
46,230,Stepping into the void was disorienting in the best way.,2024-09-23 14:00:00
9,237,The first loop concept is handled brilliantly.,2024-10-06 10:00:00
22,244,The contract setup was tight and tense.,2024-10-14 09:00:00
35,251,Dust and parchment set the library atmosphere perfectly.,2024-10-22 14:00:00
13,256,An empty land is such an ambitious start.,2024-10-30 10:00:00
48,261,A hero's disgrace hit surprisingly hard.,2024-11-07 09:00:00
5,266,A wild bond between tamer and beast felt authentic.,2024-11-13 14:00:00
28,271,The ground floor introduction is deceptively dangerous.,2024-11-20 10:00:00
40,276,Returning to youth is a wonderful concept.,2024-11-29 09:00:00
3,281,The unbreakable edge mythology was compelling.,2024-12-06 14:00:00
17,286,Portal zero jumped right into the action.,2024-12-13 10:00:00
11,291,A useless rank at the start creates great underdog energy.,2024-12-21 09:00:00
36,296,Bare fists as a starting point is refreshing.,2024-12-29 14:00:00
23,301,All aboard immediately sets a fun adventurous tone.,2025-01-04 10:00:00
7,305,The descent was eerie and well written.,2025-01-14 09:00:00
44,309,A shattered choice framing was clever.,2025-01-21 14:00:00
15,313,A delicate throne is a great political metaphor.,2025-01-28 10:00:00
32,317,Woven together is such a romantic opening.,2025-02-05 09:00:00
49,321,A heart of stone literally and figuratively. Loved it.,2025-02-12 14:00:00
1,325,After midnight is the perfect horror chapter opening.,2025-02-19 10:00:00
26,329,Setting sail gave me a real sense of adventure.,2025-02-27 09:00:00
8,333,The ancient codex discovery was thrilling.,2025-03-07 14:00:00
37,337,The breaking of worlds chapter is epic.,2025-03-13 10:00:00
20,341,A familiar voice was quietly emotional.,2025-03-20 09:00:00
4,344,The spark ignites is a great series opener.,2025-03-26 14:00:00
29,347,Departure at midnight is atmospheric and tense.,2025-04-01 10:00:00
16,350,Against all odds is the perfect chapter title for this story.,2025-04-08 09:00:00
41,353,Above the atmosphere was awe inspiring.,2025-04-12 14:00:00
10,356,Ancient symbols were described so vividly.,2025-04-15 10:00:00
24,359,It begins again. Already feeling the time loop dread.,2025-04-21 09:00:00
18,362,The invisible blade concept is genuinely creative.,2025-04-20 14:00:00
6,365,The distant signal is such a compelling hook.,2025-04-22 15:00:00
33,371,Riding out west felt authentic and dusty.,2025-04-22 11:00:00
42,374,The lie unravels right from page one.,2025-04-22 17:30:00