UserId,NovelId,ReviewContent,Rating,ReviewPostedDate
23,72,Great story with compelling characters.,8.9,2025-08-25 20:56:30
13,72,I enjoyed the pacing but the ending felt rushed.,4.73,2025-11-05 08:45:43
33,61,Highly recommend to fans of the genre.,1.75,2025-09-01 06:55:14
45,77,Highly recommend to fans of the genre.,1.11,2025-08-02 19:21:38
50,7,A solid read overall with memorable moments.,7.84,2026-02-09 04:08:03
19,40,Highly recommend to fans of the genre.,6.4,2025-05-29 23:08:45
25,14,Fantastic writing style and engaging narrative.,2.21,2026-02-23 15:03:30
4,62,Fantastic writing style and engaging narrative.,9.79,2026-04-07 15:38:37
49,15,It started strong but lost momentum midway.,6.99,2026-01-30 00:06:04
20,35,It started strong but lost momentum midway.,4.79,2025-12-26 04:11:29
47,74,I enjoyed the pacing but the ending felt rushed.,9.6,2026-04-16 04:17:06
38,4,Fantastic writing style and engaging narrative.,2.14,2025-12-21 19:30:20
35,5,The characters felt very real and relatable.,8.05,2025-11-13 12:32:12
21,67,"Not my favorite, but still a decent read.",6.16,2025-05-27 18:07:11
29,58,I enjoyed the pacing but the ending felt rushed.,1.51,2025-07-30 22:39:23
33,45,Fantastic writing style and engaging narrative.,9.99,2025-09-26 22:30:10
24,30,It started strong but lost momentum midway.,2.23,2026-01-19 19:34:35
17,57,Plot was interesting but had some slow moments.,5.93,2026-03-30 08:07:36
26,49,The characters felt very real and relatable.,3.26,2025-05-26 07:15:30
21,27,Highly recommend to fans of the genre.,3.16,2026-01-03 00:46:16
49,81,The characters felt very real and relatable.,9.85,2026-04-21 05:29:46
42,3,Fantastic writing style and engaging narrative.,3.18,2024-09-05 22:38:25
20,70,I enjoyed the pacing but the ending felt rushed.,3.62,2025-06-05 04:48:32
13,81,Fantastic writing style and engaging narrative.,1.32,2025-05-04 08:25:37
50,63,It started strong but lost momentum midway.,9.93,2026-04-18 00:24:13
40,21,Highly recommend to fans of the genre.,1.63,2026-04-12 03:10:22
26,76,"Not my favorite, but still a decent read.",1.53,2026-01-30 21:51:08
40,37,It started strong but lost momentum midway.,1.18,2026-01-03 22:38:38
3,8,"Not my favorite, but still a decent read.",7.75,2026-04-02 11:56:43
15,78,A solid read overall with memorable moments.,4.59,2026-03-30 00:14:54
41,45,Plot was interesting but had some slow moments.,8.67,2025-06-29 02:17:04
38,25,The characters felt very real and relatable.,7.88,2024-09-27 06:10:21
14,48,Highly recommend to fans of the genre.,7.64,2026-01-24 13:10:48
13,11,Great story with compelling characters.,1.16,2024-06-15 17:11:03
20,71,Highly recommend to fans of the genre.,7.12,2026-04-02 19:31:20
46,32,A solid read overall with memorable moments.,9.24,2025-11-08 07:59:37
43,5,Great story with compelling characters.,7.0,2025-01-01 15:13:22
39,26,Amazing world-building and plot twists.,1.73,2024-08-27 05:58:24
40,53,It started strong but lost momentum midway.,2.47,2026-04-13 03:57:48
38,41,It started strong but lost momentum midway.,6.66,2025-11-20 15:18:58
29,31,"Not my favorite, but still a decent read.",6.33,2025-06-13 13:13:01
3,72,Highly recommend to fans of the genre.,7.24,2026-03-18 01:26:21
31,51,The characters felt very real and relatable.,9.23,2026-03-29 23:42:05
1,47,Amazing world-building and plot twists.,9.06,2025-05-30 11:50:35
47,68,Fantastic writing style and engaging narrative.,1.21,2026-02-22 19:13:08
37,63,It started strong but lost momentum midway.,5.17,2026-03-30 07:09:04
41,61,The characters felt very real and relatable.,3.04,2025-04-30 16:56:54
7,48,It started strong but lost momentum midway.,1.13,2026-04-06 16:29:38
36,33,Plot was interesting but had some slow moments.,1.36,2025-10-11 08:16:22
38,6,I enjoyed the pacing but the ending felt rushed.,2.59,2025-01-27 03:35:21
44,74,A solid read overall with memorable moments.,6.0,2026-02-04 23:16:59
1,69,Great story with compelling characters.,5.72,2025-10-19 11:28:45
49,18,Amazing world-building and plot twists.,4.12,2026-03-08 13:32:58
42,67,Great story with compelling characters.,1.8,2025-06-06 08:03:57
43,69,Fantastic writing style and engaging narrative.,4.44,2025-06-24 02:27:03
29,22,"Not my favorite, but still a decent read.",1.57,2026-03-31 04:06:37
43,70,Highly recommend to fans of the genre.,4.31,2025-07-04 17:03:16
43,16,Plot was interesting but had some slow moments.,7.73,2026-01-02 05:54:44
45,35,Fantastic writing style and engaging narrative.,4.45,2025-08-14 23:12:34
9,79,I enjoyed the pacing but the ending felt rushed.,3.7,2025-12-25 07:30:48
14,67,The characters felt very real and relatable.,9.47,2025-06-18 16:33:44
1,2,Plot was interesting but had some slow moments.,4.96,2023-07-21 18:17:53
9,13,The characters felt very real and relatable.,8.42,2026-02-05 01:53:19
21,24,Great story with compelling characters.,1.01,2026-03-04 22:20:50
6,23,"Not my favorite, but still a decent read.",7.91,2026-02-12 11:34:51
31,20,Fantastic writing style and engaging narrative.,4.68,2026-04-04 05:17:52
36,11,It started strong but lost momentum midway.,1.55,2026-03-16 19:10:41
12,54,It started strong but lost momentum midway.,1.63,2025-08-17 02:21:47
11,28,I enjoyed the pacing but the ending felt rushed.,5.02,2025-11-08 13:38:13
46,25,Plot was interesting but had some slow moments.,8.94,2025-07-08 23:09:11
14,6,A solid read overall with memorable moments.,6.11,2025-11-05 04:14:31
41,36,I enjoyed the pacing but the ending felt rushed.,3.95,2025-06-10 07:48:14
25,21,Highly recommend to fans of the genre.,3.75,2025-12-05 07:28:53
11,13,Plot was interesting but had some slow moments.,6.22,2025-01-21 04:36:12
1,40,I enjoyed the pacing but the ending felt rushed.,7.52,2025-08-02 12:56:34
44,2,Amazing world-building and plot twists.,6.79,2025-09-15 12:29:01
19,10,"Not my favorite, but still a decent read.",3.49,2024-05-28 10:18:28
26,11,Amazing world-building and plot twists.,4.09,2024-03-11 16:47:03
31,12,The characters felt very real and relatable.,6.34,2026-04-14 02:00:50
38,73,I enjoyed the pacing but the ending felt rushed.,2.21,2025-12-20 06:55:57
29,20,Amazing world-building and plot twists.,1.62,2025-09-25 17:52:47
24,74,Amazing world-building and plot twists.,9.76,2026-04-21 04:58:49
7,52,Highly recommend to fans of the genre.,6.73,2025-07-19 05:30:22
42,50,Amazing world-building and plot twists.,8.73,2025-12-16 21:45:02
2,75,It started strong but lost momentum midway.,6.53,2025-08-22 08:48:36
49,11,A solid read overall with memorable moments.,7.96,2026-03-21 21:55:56
49,79,Amazing world-building and plot twists.,3.08,2026-02-10 00:25:37
27,41,Highly recommend to fans of the genre.,1.51,2025-08-18 22:01:23
46,34,Great story with compelling characters.,4.32,2025-07-29 11:08:27
35,52,Plot was interesting but had some slow moments.,5.53,2025-12-09 07:27:49
6,53,It started strong but lost momentum midway.,8.26,2026-01-15 12:37:26
9,40,I enjoyed the pacing but the ending felt rushed.,2.53,2025-01-30 13:39:21
26,81,Great story with compelling characters.,9.9,2025-11-22 11:30:39
46,59,Highly recommend to fans of the genre.,6.63,2026-02-22 06:59:25
38,42,I enjoyed the pacing but the ending felt rushed.,1.15,2025-08-14 11:44:17
18,12,Plot was interesting but had some slow moments.,2.81,2026-02-14 18:09:25
44,54,A solid read overall with memorable moments.,6.97,2025-10-29 06:32:58
4,13,Great story with compelling characters.,3.58,2024-09-08 23:17:20
30,30,I enjoyed the pacing but the ending felt rushed.,5.84,2025-01-22 07:49:43
49,25,Great story with compelling characters.,6.91,2026-02-05 03:47:59
1,21,A solid read overall with memorable moments.,4.06,2025-08-03 23:22:33
5,70,I enjoyed the pacing but the ending felt rushed.,3.84,2026-04-04 13:50:37
30,75,I enjoyed the pacing but the ending felt rushed.,2.8,2025-09-28 06:06:59
22,29,Highly recommend to fans of the genre.,5.4,2025-12-05 18:15:26
17,62,Fantastic writing style and engaging narrative.,6.78,2026-04-05 20:22:26
18,45,The characters felt very real and relatable.,2.44,2026-02-23 01:15:01
4,29,Highly recommend to fans of the genre.,1.15,2025-09-30 01:13:58
6,56,The characters felt very real and relatable.,9.32,2025-12-31 22:05:00
40,76,A solid read overall with memorable moments.,3.22,2025-12-27 20:28:50
29,3,It started strong but lost momentum midway.,6.07,2025-07-02 18:09:34
9,52,It started strong but lost momentum midway.,1.71,2025-12-30 12:40:47
50,4,The characters felt very real and relatable.,4.44,2025-09-17 11:12:31
5,80,Highly recommend to fans of the genre.,2.85,2026-04-17 15:18:51
40,25,Highly recommend to fans of the genre.,6.69,2026-01-30 07:23:43
39,73,I enjoyed the pacing but the ending felt rushed.,8.08,2025-10-11 19:11:39
29,73,Fantastic writing style and engaging narrative.,8.51,2026-02-23 18:22:43
16,42,Fantastic writing style and engaging narrative.,7.39,2026-03-20 07:18:01
21,32,Great story with compelling characters.,4.56,2025-04-01 02:24:47
43,18,Great story with compelling characters.,4.37,2025-08-31 21:46:00
38,24,A solid read overall with memorable moments.,1.08,2025-08-31 19:07:29
44,57,"Not my favorite, but still a decent read.",5.3,2025-11-02 08:48:33
1,33,Plot was interesting but had some slow moments.,2.3,2024-12-08 21:16:27
12,31,Plot was interesting but had some slow moments.,7.31,2025-01-15 06:45:24
2,40,A solid read overall with memorable moments.,6.18,2025-08-19 09:22:07
41,73,Amazing world-building and plot twists.,9.59,2025-05-28 06:12:02
28,16,Great story with compelling characters.,4.35,2025-08-21 09:58:31
8,48,It started strong but lost momentum midway.,2.94,2025-09-16 10:23:00
37,22,"Not my favorite, but still a decent read.",5.5,2025-10-28 15:26:49
30,15,Fantastic writing style and engaging narrative.,7.59,2025-10-21 05:49:54
27,63,It started strong but lost momentum midway.,5.91,2025-11-21 09:25:47
34,3,I enjoyed the pacing but the ending felt rushed.,2.5,2025-10-10 07:40:30
25,61,A solid read overall with memorable moments.,4.55,2026-01-14 16:41:22
12,64,The characters felt very real and relatable.,4.31,2025-11-29 01:39:06
21,63,Great story with compelling characters.,8.8,2026-01-23 18:39:36
48,69,Amazing world-building and plot twists.,3.48,2025-11-21 05:51:14
28,66,Plot was interesting but had some slow moments.,6.21,2025-07-27 12:51:45
41,53,Highly recommend to fans of the genre.,2.59,2025-09-15 10:03:27
18,16,I enjoyed the pacing but the ending felt rushed.,8.11,2025-12-31 07:43:18
21,31,Amazing world-building and plot twists.,7.18,2025-12-17 21:39:53
4,39,Amazing world-building and plot twists.,8.85,2025-12-06 05:44:50
10,68,Fantastic writing style and engaging narrative.,7.05,2026-04-03 09:36:54
41,43,The characters felt very real and relatable.,3.23,2025-07-27 11:42:09
50,58,Great story with compelling characters.,2.61,2026-01-21 22:29:26
23,70,I enjoyed the pacing but the ending felt rushed.,3.49,2025-10-06 06:53:15
36,5,A solid read overall with memorable moments.,9.06,2026-04-13 20:01:43
19,24,Plot was interesting but had some slow moments.,8.13,2025-07-03 02:14:57
13,73,A solid read overall with memorable moments.,5.29,2025-08-29 19:42:13
26,47,It started strong but lost momentum midway.,4.96,2026-03-29 18:02:14
50,52,Great story with compelling characters.,1.78,2026-01-03 13:20:27
22,26,Fantastic writing style and engaging narrative.,5.97,2024-10-16 11:08:30
46,5,A solid read overall with memorable moments.,3.27,2023-11-09 14:09:13
15,40,"Not my favorite, but still a decent read.",7.48,2025-07-22 05:39:25
30,24,Plot was interesting but had some slow moments.,4.44,2025-08-25 02:18:42
12,1,Highly recommend to fans of the genre.,1.07,2025-12-25 12:06:20
42,47,Amazing world-building and plot twists.,3.16,2026-02-25 03:36:47
47,62,I enjoyed the pacing but the ending felt rushed.,5.64,2026-04-11 02:29:40
13,17,Plot was interesting but had some slow moments.,6.18,2024-06-07 08:28:17
3,46,Great story with compelling characters.,9.07,2026-04-01 16:04:53
28,70,"Not my favorite, but still a decent read.",6.93,2026-02-08 21:21:02
1,77,"Not my favorite, but still a decent read.",7.73,2025-10-06 02:18:10
13,7,It started strong but lost momentum midway.,8.35,2024-06-09 22:28:07
43,44,Amazing world-building and plot twists.,4.64,2025-01-31 14:04:11
27,74,Highly recommend to fans of the genre.,5.14,2026-04-12 12:17:08
21,25,I enjoyed the pacing but the ending felt rushed.,8.78,2025-04-08 21:18:22
12,61,Highly recommend to fans of the genre.,3.18,2025-12-12 18:28:03
17,49,Amazing world-building and plot twists.,2.72,2026-03-05 06:36:48
42,76,The characters felt very real and relatable.,4.94,2025-12-24 09:18:52
27,57,"Not my favorite, but still a decent read.",2.59,2025-12-17 05:51:02
12,73,Highly recommend to fans of the genre.,9.28,2025-08-23 16:12:05
21,39,Highly recommend to fans of the genre.,1.02,2025-02-09 16:34:05
15,15,Highly recommend to fans of the genre.,4.18,2024-10-31 11:55:37
24,46,The characters felt very real and relatable.,3.73,2026-01-18 03:53:37
45,2,Great story with compelling characters.,3.23,2025-05-21 13:53:41
32,18,A solid read overall with memorable moments.,4.1,2025-08-09 04:56:44
8,18,Fantastic writing style and engaging narrative.,9.42,2025-01-28 16:12:44
28,18,Amazing world-building and plot twists.,5.09,2026-01-13 05:07:33
37,46,A solid read overall with memorable moments.,4.65,2026-04-07 15:06:08
27,69,The characters felt very real and relatable.,7.19,2025-11-18 00:15:59
8,32,I enjoyed the pacing but the ending felt rushed.,7.34,2024-12-09 19:49:37
35,31,I enjoyed the pacing but the ending felt rushed.,1.2,2026-01-11 17:05:01
32,73,Amazing world-building and plot twists.,5.24,2025-08-17 16:36:53
1,62,Fantastic writing style and engaging narrative.,9.12,2025-07-03 23:52:43
3,50,Amazing world-building and plot twists.,5.89,2026-04-06 14:50:53
4,80,Great story with compelling characters.,8.03,2025-12-30 21:56:02
20,38,I enjoyed the pacing but the ending felt rushed.,8.09,2026-03-30 04:12:37
11,4,Great story with compelling characters.,3.08,2025-11-08 10:29:56
20,44,Amazing world-building and plot twists.,2.18,2025-07-29 14:19:01
45,72,A solid read overall with memorable moments.,9.94,2026-03-21 21:09:15
35,39,Amazing world-building and plot twists.,2.22,2026-01-05 21:05:58
7,74,A solid read overall with memorable moments.,6.14,2025-10-31 14:48:25
41,38,Amazing world-building and plot twists.,6.17,2025-05-13 05:43:30
48,46,Fantastic writing style and engaging narrative.,1.48,2025-11-07 10:31:23
42,27,The characters felt very real and relatable.,3.65,2025-04-09 18:15:35
36,22,I enjoyed the pacing but the ending felt rushed.,2.81,2026-04-17 04:01:35
47,23,Great story with compelling characters.,5.57,2026-03-23 15:23:00
10,52,Fantastic writing style and engaging narrative.,5.8,2025-07-12 22:47:50
6,57,Great story with compelling characters.,4.52,2025-12-28 12:35:24
15,16,Great story with compelling characters.,9.66,2025-04-20 03:20:23
14,2,The characters felt very real and relatable.,6.93,2024-10-19 03:29:25
4,76,Highly recommend to fans of the genre.,7.51,2025-10-11 11:01:40
41,64,Great story with compelling characters.,8.8,2026-04-22 15:35:51
49,7,"Not my favorite, but still a decent read.",5.69,2026-03-15 00:16:01
46,64,The characters felt very real and relatable.,1.97,2025-11-11 13:41:19
9,69,Plot was interesting but had some slow moments.,4.72,2025-07-24 22:35:53
36,36,Fantastic writing style and engaging narrative.,4.49,2025-11-07 06:54:14
39,7,A solid read overall with memorable moments.,6.31,2025-06-15 21:08:05
47,1,Plot was interesting but had some slow moments.,7.91,2026-03-10 20:00:33
8,42,The characters felt very real and relatable.,7.9,2025-04-01 18:10:59
38,48,Great story with compelling characters.,9.42,2025-05-29 10:58:25
8,19,A solid read overall with memorable moments.,5.49,2025-01-08 00:08:42
22,68,A solid read overall with memorable moments.,7.14,2025-05-27 05:15:22
9,17,I enjoyed the pacing but the ending felt rushed.,1.69,2025-12-11 04:38:23
32,45,Amazing world-building and plot twists.,5.15,2025-10-16 23:31:14
48,48,Plot was interesting but had some slow moments.,9.56,2025-02-09 02:10:11
35,9,A solid read overall with memorable moments.,9.45,2025-12-19 13:31:22
7,11,Amazing world-building and plot twists.,2.12,2024-04-22 07:00:34
47,21,It started strong but lost momentum midway.,9.66,2026-03-15 05:35:35
14,34,Plot was interesting but had some slow moments.,5.08,2025-02-24 09:46:56
6,12,Fantastic writing style and engaging narrative.,7.89,2026-01-25 17:46:01
24,35,"Not my favorite, but still a decent read.",5.58,2026-02-15 08:37:52
5,6,It started strong but lost momentum midway.,8.42,2026-04-20 06:58:31
50,75,Fantastic writing style and engaging narrative.,9.0,2025-10-23 03:24:28
50,48,Highly recommend to fans of the genre.,7.16,2025-10-13 10:11:54
38,12,A solid read overall with memorable moments.,4.48,2025-08-07 23:36:12
43,34,"Not my favorite, but still a decent read.",3.42,2025-05-16 20:27:54
31,52,Fantastic writing style and engaging narrative.,2.0,2026-04-04 03:58:34
7,64,"Not my favorite, but still a decent read.",2.14,2025-10-02 17:57:42
21,35,Highly recommend to fans of the genre.,7.4,2025-08-05 22:52:42
18,19,"Not my favorite, but still a decent read.",7.67,2025-11-02 08:18:44
10,35,I enjoyed the pacing but the ending felt rushed.,1.78,2025-03-10 12:25:04
33,69,Highly recommend to fans of the genre.,8.22,2025-07-18 05:11:56
32,67,"Not my favorite, but still a decent read.",5.26,2025-07-08 18:57:00
9,24,The characters felt very real and relatable.,3.97,2025-10-13 05:59:22
39,53,Highly recommend to fans of the genre.,5.19,2026-04-14 19:38:19
41,40,"Not my favorite, but still a decent read.",7.95,2025-01-28 07:29:41
4,43,Fantastic writing style and engaging narrative.,1.74,2026-04-07 13:13:10
29,29,Highly recommend to fans of the genre.,1.74,2026-01-28 11:58:43
33,2,Amazing world-building and plot twists.,6.2,2025-07-13 23:05:40
19,23,Great story with compelling characters.,8.8,2024-10-08 12:52:42
8,59,I enjoyed the pacing but the ending felt rushed.,7.39,2025-10-19 07:56:41
22,49,"Not my favorite, but still a decent read.",2.2,2026-02-04 22:50:27
29,57,Amazing world-building and plot twists.,4.9,2025-08-03 20:11:36
36,24,Amazing world-building and plot twists.,5.12,2025-11-30 10:58:42
15,42,A solid read overall with memorable moments.,7.04,2025-07-10 21:28:46
20,45,Highly recommend to fans of the genre.,5.14,2026-01-27 13:09:51
42,32,It started strong but lost momentum midway.,3.2,2025-02-12 21:33:05
12,66,Highly recommend to fans of the genre.,2.42,2026-01-28 12:03:24
22,42,Plot was interesting but had some slow moments.,5.64,2025-01-07 10:04:10
7,37,A solid read overall with memorable moments.,5.8,2026-04-22 07:37:01
43,32,Plot was interesting but had some slow moments.,2.13,2024-11-16 00:05:09
18,68,A solid read overall with memorable moments.,1.45,2026-01-26 17:17:11
36,4,Amazing world-building and plot twists.,4.97,2026-03-26 07:36:01
14,70,Amazing world-building and plot twists.,4.31,2026-04-03 15:38:06
11,66,Amazing world-building and plot twists.,5.39,2025-08-29 20:25:14
45,62,Highly recommend to fans of the genre.,7.16,2025-12-28 04:46:04
17,37,Fantastic writing style and engaging narrative.,3.98,2026-01-27 08:36:11
22,37,Amazing world-building and plot twists.,4.29,2026-03-24 07:10:58
45,78,The characters felt very real and relatable.,9.89,2026-02-28 11:01:17
44,13,Amazing world-building and plot twists.,1.73,2025-08-16 08:05:25
42,31,"Not my favorite, but still a decent read.",2.25,2025-02-19 15:02:04
35,16,Amazing world-building and plot twists.,9.69,2026-01-25 16:34:44
39,46,Highly recommend to fans of the genre.,2.93,2025-04-11 02:34:42
50,45,Great story with compelling characters.,1.07,2026-02-05 15:25:17
14,5,Fantastic writing style and engaging narrative.,2.47,2024-02-24 04:35:22
48,2,The characters felt very real and relatable.,7.6,2024-03-21 00:35:52
29,52,A solid read overall with memorable moments.,5.04,2025-06-08 04:09:11
45,68,Amazing world-building and plot twists.,7.2,2026-02-18 17:27:16
24,75,A solid read overall with memorable moments.,7.49,2026-03-19 17:18:45
33,74,Great story with compelling characters.,4.89,2026-01-21 02:38:40
8,55,I enjoyed the pacing but the ending felt rushed.,5.02,2025-09-20 18:00:58
25,44,Amazing world-building and plot twists.,4.24,2025-11-20 00:11:50
30,35,Plot was interesting but had some slow moments.,4.52,2025-10-25 22:43:31
28,9,I enjoyed the pacing but the ending felt rushed.,9.88,2025-12-15 05:46:09
41,13,Fantastic writing style and engaging narrative.,2.09,2024-11-28 21:23:33
13,66,Great story with compelling characters.,6.05,2025-04-28 17:23:59
9,34,Plot was interesting but had some slow moments.,5.6,2025-08-12 12:47:28
29,6,Highly recommend to fans of the genre.,9.82,2025-06-24 05:38:10
11,19,Plot was interesting but had some slow moments.,4.75,2025-04-28 16:21:36
43,43,Amazing world-building and plot twists.,3.5,2025-12-08 07:32:40
11,53,"Not my favorite, but still a decent read.",2.36,2026-02-17 10:40:52
47,51,Fantastic writing style and engaging narrative.,7.91,2026-03-30 05:11:50
49,33,Highly recommend to fans of the genre.,2.25,2026-02-24 06:14:06
41,41,Fantastic writing style and engaging narrative.,2.81,2025-09-24 18:25:25
10,20,Amazing world-building and plot twists.,5.53,2024-07-10 03:05:52
47,56,Plot was interesting but had some slow moments.,6.98,2026-03-16 08:31:06
2,11,Great story with compelling characters.,4.43,2025-01-25 11:25:18
7,81,The characters felt very real and relatable.,9.45,2026-02-28 08:37:13
21,59,Amazing world-building and plot twists.,6.76,2025-07-30 00:23:52
17,19,Great story with compelling characters.,6.31,2026-01-24 15:12:38
6,3,Plot was interesting but had some slow moments.,8.8,2026-01-12 04:10:31
42,73,Highly recommend to fans of the genre.,9.56,2025-05-28 09:51:30
44,20,Fantastic writing style and engaging narrative.,5.3,2025-09-29 17:15:00
47,18,Plot was interesting but had some slow moments.,9.33,2026-03-19 22:21:09
42,4,Highly recommend to fans of the genre.,9.25,2024-04-19 00:20:45
48,42,The characters felt very real and relatable.,5.62,2025-05-25 21:14:17
12,12,Plot was interesting but had some slow moments.,8.89,2026-02-02 12:18:59
36,14,Amazing world-building and plot twists.,7.67,2026-01-13 16:09:52
20,75,Amazing world-building and plot twists.,5.75,2026-02-12 18:04:40
31,39,It started strong but lost momentum midway.,2.76,2026-04-22 08:17:20
27,73,I enjoyed the pacing but the ending felt rushed.,7.42,2025-07-08 19:12:58
